tagCharAttribute01Modifier	Attribute
tagCharAttribute01ModifierR	Attribute
tagCharAttribute01R	Attribute
tagCharAttribute02	Attribute
tagCharAttribute02Modifier	Attribute
tagCharAttribute02ModifierR	Attribute
tagCharAttribute02R	Attribute
tagCharAttribute03	Attribute
tagCharAttribute03Modifier	Attribute
tagCharAttribute03ModifierR	Attribute
tagCharAttribute03R	Attribute
tagCharAttribute04	Attribute
tagCharAttribute04Modifier	Attribute
tagCharAttribute04ModifierR	Attribute
tagCharAttribute04R	Attribute
tagCharAttribute05	Attribute
tagCharAttribute05Modifier	Attribute
tagCharAttribute05ModifierR	Attribute
tagCharAttribute05R	Attribute
tagCharDefensiveAbility	Misc
tagCharDefensiveAbilityModifier	Misc
tagCharDefensiveAbilityModifierR	Misc
tagCharDefensiveAbilityR	Misc
tagCharIncreasedExperience	Misc
tagCharIncreasedExperienceR	Misc
tagCharOffensiveAbility	Misc
tagCharOffensiveAbilityModifier	Misc
tagCharOffensiveAbilityModifierR	Misc
tagCharOffensiveAbilityR	Misc
tagCharRunSpeed	Misc
tagCharRunSpeedModifier	Misc
tagCharRunSpeedModifierR	Misc
tagCharRunSpeedR	Misc
tagCharSpellCastSpeed	Misc
tagCharSpellCastSpeedModifier	Misc
tagCharSpellCastSpeedModifierR	Misc
tagCharSpellCastSpeedR	Misc
tagCharTotalSpeedModifier	Misc
tagCharTotalSpeedModifierR	Misc
tagConversionAether	Aether
tagConversionChaos	Chaos
tagConversionCold	Cold
tagConversionElemental	Elemental
tagConversionFire	Fire
tagConversionLife	Vitality
tagConversionLightning	Lightning
tagConversionPhysical	Physical
tagConversionPierce	Pierce
tagConversionPoison	Acid
tagDamageBaseAether	Aether
tagDamageBaseChaos	Chaos
tagDamageBaseCold	Cold
tagDamageBaseFire	Fire
tagDamageBaseLightning	Lightning
tagDamageBasePoison	Acid
tagDamageBaseVitality	Vitality
tagDamageModifierCritDamage	Misc
tagDamageModifierCritDamageR	Misc
tagDamageModifierDamageMult	Misc
tagDamageModifierTotalDamage	Misc
tagRetaliationModifierDamageMult	Misc
tagRetaliationModifierTotalDamage	Misc
tagRetaliationModifierTotalDamageR	Misc
